 Total Nb of available Diagnostics: ndiagt=   458
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   263 |ADVxTr05| 52 |   264 |UU      MR|molP/m.m^3/s    |Zonal      Advective Flux of po4
   264 |ADVyTr05| 52 |   263 |VV      MR|molP/m.m^3/s    |Meridional Advective Flux of po4
   265 |DFrETr05| 52 |       |WM      LR|molP/m.m^3/s    |Vertical Diffusive Flux of po4 (Explicit part)
   266 |DFxETr05| 52 |   267 |UU      MR|molP/m.m^3/s    |Zonal      Diffusive Flux of po4
   267 |DFyETr05| 52 |   266 |VV      MR|molP/m.m^3/s    |Meridional Diffusive Flux of po4
   268 |DFrITr05| 52 |       |WM      LR|molP/m.m^3/s    |Vertical Diffusive Flux of po4 (Implicit part)
   269 |TRAC06  | 52 |       |SMR     MR|mol Fe/         |Dissolved Inorganic Iron concentration
   270 |UTRAC06 | 52 |   271 |UUr     MR|molFe/.m/s      |Zonal Mass-Weighted Transp of fet
   271 |VTRAC06 | 52 |   270 |VVr     MR|molFe/.m/s      |Merid Mass-Weighted Transp of fet
   272 |WTRAC06 | 52 |       |WM      MR|molFe/.m/s      |Vert  Mass-Weighted Transp of fet
   273 |ForcTr06| 52 |       |SMR     MR|molFe//s        |fet forcing tendency
   274 |AB_gTr06| 52 |       |SMR     MR|molFe//s        |fet tendency from Adams-Bashforth
   275 |ADVrTr06| 52 |       |WM      LR|molFe/.m^3/s    |Vertical   Advective Flux of fet
   276 |ADVxTr06| 52 |   277 |UU      MR|molFe/.m^3/s    |Zonal      Advective Flux of fet
   277 |ADVyTr06| 52 |   276 |VV      MR|molFe/.m^3/s    |Meridional Advective Flux of fet
   278 |DFrETr06| 52 |       |WM      LR|molFe/.m^3/s    |Vertical Diffusive Flux of fet (Explicit part)
   279 |DFxETr06| 52 |   280 |UU      MR|molFe/.m^3/s    |Zonal      Diffusive Flux of fet
   280 |DFyETr06| 52 |   279 |VV      MR|molFe/.m^3/s    |Meridional Diffusive Flux of fet
   281 |DFrITr06| 52 |       |WM      LR|molFe/.m^3/s    |Vertical Diffusive Flux of fet (Implicit part)
   282 |TRAC07  | 52 |       |SMR     MR|mol N/m         |Dissolved Organic Nitrogen concentration
   283 |UTRAC07 | 52 |   284 |UUr     MR|molN/m.m/s      |Zonal Mass-Weighted Transp of don
   284 |VTRAC07 | 52 |   283 |VVr     MR|molN/m.m/s      |Merid Mass-Weighted Transp of don
   285 |WTRAC07 | 52 |       |WM      MR|molN/m.m/s      |Vert  Mass-Weighted Transp of don
   286 |ForcTr07| 52 |       |SMR     MR|molN/m/s        |don forcing tendency
   287 |AB_gTr07| 52 |       |SMR     MR|molN/m/s        |don tendency from Adams-Bashforth
   288 |ADVrTr07| 52 |       |WM      LR|molN/m.m^3/s    |Vertical   Advective Flux of don
   289 |ADVxTr07| 52 |   290 |UU      MR|molN/m.m^3/s    |Zonal      Advective Flux of don
   290 |ADVyTr07| 52 |   289 |VV      MR|molN/m.m^3/s    |Meridional Advective Flux of don
   291 |DFrETr07| 52 |       |WM      LR|molN/m.m^3/s    |Vertical Diffusive Flux of don (Explicit part)
   292 |DFxETr07| 52 |   293 |UU      MR|molN/m.m^3/s    |Zonal      Diffusive Flux of don
   293 |DFyETr07| 52 |   292 |VV      MR|molN/m.m^3/s    |Meridional Diffusive Flux of don
   294 |DFrITr07| 52 |       |WM      LR|molN/m.m^3/s    |Vertical Diffusive Flux of don (Implicit part)
   295 |TRAC08  | 52 |       |SMR     MR|mol P/m         |Dissolved Organic Phosphorus concentration
   296 |UTRAC08 | 52 |   297 |UUr     MR|molP/m.m/s      |Zonal Mass-Weighted Transp of dop
   297 |VTRAC08 | 52 |   296 |VVr     MR|molP/m.m/s      |Merid Mass-Weighted Transp of dop
   298 |WTRAC08 | 52 |       |WM      MR|molP/m.m/s      |Vert  Mass-Weighted Transp of dop
   299 |ForcTr08| 52 |       |SMR     MR|molP/m/s        |dop forcing tendency
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |AB_gTr08| 52 |       |SMR     MR|molP/m/s        |dop tendency from Adams-Bashforth
   301 |ADVrTr08| 52 |       |WM      LR|molP/m.m^3/s    |Vertical   Advective Flux of dop
   302 |ADVxTr08| 52 |   303 |UU      MR|molP/m.m^3/s    |Zonal      Advective Flux of dop
   303 |ADVyTr08| 52 |   302 |VV      MR|molP/m.m^3/s    |Meridional Advective Flux of dop
   304 |DFrETr08| 52 |       |WM      LR|molP/m.m^3/s    |Vertical Diffusive Flux of dop (Explicit part)
   305 |DFxETr08| 52 |   306 |UU      MR|molP/m.m^3/s    |Zonal      Diffusive Flux of dop
   306 |DFyETr08| 52 |   305 |VV      MR|molP/m.m^3/s    |Meridional Diffusive Flux of dop
   307 |DFrITr08| 52 |       |WM      LR|molP/m.m^3/s    |Vertical Diffusive Flux of dop (Implicit part)
   308 |TRAC09  | 52 |       |SMR     MR|kg/kg           |Tracer 0009 concentration
   309 |UTRAC09 | 52 |   310 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of Tracer 0009
   310 |VTRAC09 | 52 |   309 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of Tracer 0009
   311 |WTRAC09 | 52 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of Tracer 0009
   312 |ForcTr09| 52 |       |SMR     MR|kg/kg/s         |Tracer 0009 forcing tendency
   313 |AB_gTr09| 52 |       |SMR     MR|kg/kg/s         |Tracer 0009 tendency from Adams-Bashforth
   314 |ADVrTr09| 52 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of Tracer 0009
   315 |ADVxTr09| 52 |   316 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of Tracer 0009
   316 |ADVyTr09| 52 |   315 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of Tracer 0009
   317 |DFrETr09| 52 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0009 (Explicit part)
   318 |DFxETr09| 52 |   319 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of Tracer 0009
   319 |DFyETr09| 52 |   318 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of Tracer 0009
   320 |DFrITr09| 52 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of Tracer 0009 (Implicit part)
   321 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
   322 |BLGPH3D | 52 |       |SM P    MR|dimensionless   |pH
   323 |BLGOMAR | 52 |       |SM P    MR|dimensionless   |Aragonite saturation
   324 |BLGPCO2 |  1 |       |SM P    M1|atm             |Surface ocean partial pressure of CO2
   325 |BLGCFLX |  1 |       |SM P    L1|mol/m2/sec      |Flux of CO2 due to air-sea exch (mol/m2/s)
   326 |BLGOFLX |  1 |       |SM P    L1|mol/m2/sec      |Flux of O2 due to air-sea exch (mol/m2/s)
   327 |BLGPSM  | 52 |       |SM P    MR|mol C/m3        |Small phytoplankton biomass (mol C/m3/s)
   328 |BLGPLG  | 52 |       |SM P    MR|mol C/m3        |Large phytoplankton biomass (mol C/m3/s)
   329 |BLGPDIA | 52 |       |SM P    MR|mol C/m3        |Diazotroph phytoplankton biomass (mol C/m3/s)
   330 |BLGCHL  | 52 |       |SM P    MR|mol chl/m3      |Chlorophyll concentration
   331 |BLGPOCF | 52 |       |SM P    MR|mol C/m3/s      |Particulate Organic Carbon Flux
   332 |BLGNPP  | 52 |       |SM P    MR|mol C/m3/s      |Net Primary Production
   333 |BLGNCP  | 52 |       |SM P    MR|mol C/m3/s      |Net Community Production
   334 |BLGFESPM| 52 |       |SM P    MR|mol Fe/m3/s     |Iron sinking particle flux
   335 |BLGFEREC| 52 |       |SM P    MR|mol Fe/m3/s     |Iron recycling
   336 |BLGFERD | 52 |       |SM P    MR|mol Fe/m3/s     |Iron remin from Diel Vertical Migration
   337 |BLGFEADI| 52 |       |SM P    MR|mol Fe/m3/s     |Iron inorganic adsorption
   338 |BLGFEADO| 52 |       |SM P    MR|mol Fe/m3/s     |Iron organic adsorption
   339 |BLGFEREM| 52 |       |SM P    MR|mol Fe/m3/s     |Iron remin of sinking organic matter
   340 |BLGFESED| 52 |       |SM P    MR|mol Fe/m3/s     |Iron sediment source
   341 |BLGFEBUR|  1 |       |SM P    M1|mol Fe/m3/s     |Iron burial into sediment
   342 |BLGFEUP | 52 |       |SM P    MR|mol Fe/m3/s     |Iron uptake by bio
   343 |BLGNDENB| 52 |       |SM P    MR|mol N/m3/s      |Benthic denitrification
   344 |BLGNDENP| 52 |       |SM P    MR|mol N/m3/s      |Pelagic denitrification
   345 |BLGNDVM | 52 |       |SM P    MR|mol N/m3/s      |Nitrogen remin by Diel Vertical Migration
   346 |BLGNFIX | 52 |       |SM P    MR|mol N/m3/s      |Nitrogen fixation
   347 |BLGDONP | 52 |       |SM P    MR|mol N/m3/s      |Dissolved Organic Nitrogen Production
   348 |BLGDONR | 52 |       |SM P    MR|mol N/m3/s      |Dissolved Organic Nitrogen Remineralization
   349 |BLGNSPM | 52 |       |SM P    MR|mol N/m3/s      |Nitrogen sinking particle flux
   350 |BLGNREC | 52 |       |SM P    MR|mol N/m3/s      |Nitrogen recycling
   351 |BLGNRD  | 52 |       |SM P    MR|mol N/m3/s      |Nitrogen remin by DVM
   352 |BLGNREM | 52 |       |SM P    MR|mol N/m3/s      |Nitrogen remin of sinking org matter
   353 |BLGNUP  | 52 |       |SM P    MR|mol N/m3/s      |Nitrogen uptake by bio
   354 |BLGPDVM | 52 |       |SM P    MR|mol P/m3/s      |Phosphorus remin by Diel Vertical Migration
   355 |BLGDOPP | 52 |       |SM P    MR|mol P/m3/s      |Dissolved Organic Phosphorus Production
   356 |BLGPSPM | 52 |       |SM P    MR|mol P/m3/s      |Phosphorus sinking particle flux
   357 |BLGPREC | 52 |       |SM P    MR|mol P/m3/s      |Phosphorus recycling
   358 |BLGPRD  | 52 |       |SM P    MR|mol P/m3/s      |Phosphorus remin by DVM
   359 |BLGPREM | 52 |       |SM P    MR|mol P/m3/s      |Phosphorus remin of sinking org matter
   360 |BLGPUP  | 52 |       |SM P    MR|mol P/m3/s      |Phosphorus uptake by bio
   361 |BLGPCM  | 52 |       |SM P    MR|1/s             |Maxximum photosynthesis rate
   362 |BLGMU   | 52 |       |SM P    MR|1/s             |Phytoplankton growth rate
   363 |BLGMUDIA| 52 |       |SM P    MR|1/s             |Diazotroph growth rate
   364 |BLGQSW  | 52 |       |SM P    MR|W/m2            |Effective irradiance
   365 |BLGIRRIS| 52 |       |SM P    MR|W/m2            |Effective irradiance
   366 |BLGIEFF | 52 |       |SM P    MR|W/m2            |Effective irradiance
   367 |BLGIMEM | 52 |       |SM P    MR|W/m2            |Irradiance memory
   368 |BLGIRRK | 52 |       |SM P    MR|W/m2            |Nutrient-limited photosynthesis efficiency
   369 |BLGNLIM | 52 |       |SM P    MR|-               |N limitation
   370 |BLGPLIM | 52 |       |SM P    MR|-               |P limitation
   371 |BLGFELIM| 52 |       |SM P    MR|-               |Fe limitation
   372 |BLGNSED |  1 |       |SM P    M1|mol N/m3/s      |Nitrogen flux in/out of sediments
   373 |BLGPSED |  1 |       |SM P    M1|mol P/m3/s      |Phosphorus flux in/out of sediments
   374 |BLGOSED |  1 |       |SM P    M1|mol O/m3/s      |Oxygen flux in/out of sediments
   375 |BLGBIOA | 52 |       |SMRP    MR|mol C/m3/sec    |Tendency of carbon due to bio prod (mol C/m3/s)
   376 |GC_Tr01 | 52 |       |SMR     MR|mol C/m         |dic concentration before GCHEM
   377 |GC_Tr02 | 52 |       |SMR     MR|mol eq/         |alk concentration before GCHEM
   378 |GC_Tr03 | 52 |       |SMR     MR|mol O/m         |o2 concentration before GCHEM
   379 |GC_Tr04 | 52 |       |SMR     MR|mol P/m         |no3 concentration before GCHEM
   380 |GC_Tr05 | 52 |       |SMR     MR|mol P/m         |po4 concentration before GCHEM
   381 |GC_Tr06 | 52 |       |SMR     MR|mol Fe/         |fet concentration before GCHEM
   382 |GC_Tr07 | 52 |       |SMR     MR|mol N/m         |don concentration before GCHEM
   383 |GC_Tr08 | 52 |       |SMR     MR|mol P/m         |dop concentration before GCHEM
   384 |GC_Tr09 | 52 |       |SMR     MR|(kg/kg)         |Tracer 0009 concentration before GCHEM
   385 |SIarea  |  1 |       |SM      M1|m^2/m^2         |SEAICE fractional ice-covered area [0 to 1]
   386 |SIareaPR|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding ridging process
   387 |SIareaPT|  1 |       |SM      M1|m^2/m^2         |SIarea preceeding thermodynamic growth/melt
   388 |SIheff  |  1 |       |SM      M1|m               |SEAICE effective ice thickness
   389 |SIheffPT|  1 |       |SM      M1|m               |SIheff preceeeding thermodynamic growth/melt
   390 |SIhsnow |  1 |       |SM      M1|m               |SEAICE effective snow thickness
   391 |SIhsnoPT|  1 |       |SM      M1|m               |SIhsnow preceeeding thermodynamic growth/melt
   392 |SIhsalt |  1 |       |SM      M1|g/m^2           |SEAICE effective salinity
   393 |SItices |  1 |   385 |SM  C   M1|K               |Surface Temperature over Sea-Ice (area weighted)
   394 |SIuice  |  1 |   395 |UU      M1|m/s             |SEAICE zonal ice velocity, >0 from West to East
   395 |SIvice  |  1 |   394 |VV      M1|m/s             |SEAICE merid. ice velocity, >0 from South to North
   396 |SIfu    |  1 |   397 |UU      U1|N/m^2           |SEAICE zonal surface wind stress, >0 increases uVel
   397 |SIfv    |  1 |   396 |VV      U1|N/m^2           |SEAICE merid. surface wind stress, >0 increases vVel
   398 |SIuwind |  1 |   399 |UM      U1|m/s             |SEAICE zonal 10-m wind speed, >0 increases uVel
   399 |SIvwind |  1 |   398 |VM      U1|m/s             |SEAICE meridional 10-m wind speed, >0 increases uVel
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   400 |SIqnet  |  1 |       |SM      U1|W/m^2           |Ocean surface heatflux, turb+rad, >0 decreases theta
   401 |SIqsw   |  1 |       |SM      U1|W/m^2           |Ocean surface shortwave radiat., >0 decreases theta
   402 |SIatmQnt|  1 |       |SM      U1|W/m^2           |Net atmospheric heat flux, >0 decreases theta
   403 |SItflux |  1 |       |SM      U1|W/m^2           |Same as TFLUX but incl seaice (>0 incr T decr H)
   404 |SIaaflux|  1 |       |SM      U1|W/m^2           |conservative ocn<->seaice adv. heat flux adjust.
   405 |SIhl    |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   406 |SIqneto |  1 |       |SM      U1|W/m^2           |Open Ocean Part of SIqnet, turb+rad, >0 decr theta
   407 |SIqneti |  1 |       |SM      U1|W/m^2           |Ice Covered Part of SIqnet, turb+rad, >0 decr theta
   408 |SIempmr |  1 |       |SM      U1|kg/m^2/s        |Ocean surface freshwater flux, > 0 increases salt
   409 |SIatmFW |  1 |       |SM      U1|kg/m^2/s        |Net freshwater flux from atmosphere & land (+=down)
   410 |SIsnPrcp|  1 |       |SM      U1|kg/m^2/s        |Snow precip. (+=dw) over Sea-Ice (area weighted)
   411 |SIfwSubl|  1 |       |SM      U1|kg/m^2/s        |Potential sublimation freshwater flux, >0 decr. ice
   412 |SIacSubl|  1 |       |SM      U1|kg/m^2/s        |Actual sublimation freshwater flux, >0 decr. ice
   413 |SIrsSubl|  1 |       |SM      U1|kg/m^2/s        |Residual subl. freshwater flux, >0 taken from ocn
   414 |SIactLHF|  1 |       |SM      U1|W/m^2           |Actual latent heat flux over ice
   415 |SImaxLHF|  1 |       |SM      U1|W/m^2           |Maximum latent heat flux over ice
   416 |SIaQbOCN|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by ocean ice flux
   417 |SIaQbATC|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by atm flux over ice
   418 |SIaQbATO|  1 |       |SM      M1|m/s             |Potential HEFF rate of change by open ocn atm flux
   419 |SIdHbOCN|  1 |       |SM      M1|m/s             |HEFF rate of change by ocean ice flux
   420 |SIdSbATC|  1 |       |SM      M1|m/s             |HSNOW rate of change by atm flux over sea ice
   421 |SIdSbOCN|  1 |       |SM      M1|m/s             |HSNOW rate of change by ocean ice flux
   422 |SIdHbATC|  1 |       |SM      M1|m/s             |HEFF rate of change by atm flux over sea ice
   423 |SIdHbATO|  1 |       |SM      M1|m/s             |HEFF rate of change by open ocn atm flux
   424 |SIdHbFLO|  1 |       |SM      M1|m/s             |HEFF rate of change by flooding snow
   425 |SIdAbATO|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by open ocn atm flux
   426 |SIdAbATC|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by atm flux over ice
   427 |SIdAbOCN|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by ocean ice flux
   428 |SIdA    |  1 |       |SM      M1|m^2/m^2/s       |AREA rate of change (net)
   429 |ADVxHEFF|  1 |   430 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff ice thickn
   430 |ADVyHEFF|  1 |   429 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff ice thickn
   431 |SIuheff |  1 |   432 |UU      M1|m^2/s           |Zonal      Transport of eff ice thickn (centered)
   432 |SIvheff |  1 |   431 |VV      M1|m^2/s           |Meridional Transport of eff ice thickn (centered)
   433 |DFxEHEFF|  1 |   434 |UU      M1|m^2/s           |Zonal      Diffusive Flux of eff ice thickn
   434 |DFyEHEFF|  1 |   433 |VV      M1|m^2/s           |Meridional Diffusive Flux of eff ice thickn
   435 |ADVxAREA|  1 |   436 |UU      M1|m^2/m^2.m^2/s   |Zonal      Advective Flux of fract area
   436 |ADVyAREA|  1 |   435 |VV      M1|m^2/m^2.m^2/s   |Meridional Advective Flux of fract area
   437 |DFxEAREA|  1 |   438 |UU      M1|m^2/m^2.m^2/s   |Zonal      Diffusive Flux of fract area
   438 |DFyEAREA|  1 |   437 |VV      M1|m^2/m^2.m^2/s   |Meridional Diffusive Flux of fract area
   439 |ADVxSNOW|  1 |   440 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff snow thickn
   440 |ADVySNOW|  1 |   439 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff snow thickn
   441 |DFxESNOW|  1 |   442 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff snow thickn
   442 |DFyESNOW|  1 |   441 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff snow thickn
   443 |ADVxSSLT|  1 |   444 |UU      M1|psu.m^2/s       |Zonal      Advective Flux of seaice salinity
   444 |ADVySSLT|  1 |   443 |VV      M1|psu.m^2/s       |Meridional Advective Flux of seaice salinity
   445 |DFxESSLT|  1 |   446 |UU      M1|psu.m^2/s       |Zonal      Diffusive Flux of seaice salinity
   446 |DFyESSLT|  1 |   445 |VV      M1|psu.m^2/s       |Meridional Diffusive Flux of seaice salinity
   447 |SIpress |  1 |       |SM      M1|m^2/s^2         |SEAICE strength (with upper and lower limit)
   448 |SIzeta  |  1 |       |SM      M1|m^2/s           |SEAICE nonlinear bulk viscosity
   449 |SIeta   |  1 |       |SM      M1|m^2/s           |SEAICE nonlinear shear viscosity
   450 |SIsigI  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component one
   451 |SIsigII |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component two
   452 |SIshear |  1 |       |SM      M1|s^{-1}          |SEAICE shear deformation
   453 |SIdelta |  1 |       |SM      M1|s^{-1}          |SEAICE Delta deformation
   454 |SItensil|  1 |       |SM      M1|m^2/s^2         |SEAICE maximal tensile strength
   455 |PLUMEKB | 52 |       |SM      MR|                |fractional plume: [0-1] (unitless)
   456 |oceSPtnd| 52 |       |SM      MR|g/m^2/s         |salt tendency due to salt plume flux >0 increases salinity
   457 |oceSPflx|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux rejected into the ocean during freezing, (+=down),
   458 |oceSPDep|  1 |       |SM      U1|m               |Salt plume depth based on density criterion (>0)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
